series,seriesId,datapoints,year_begin,year_end,aperture,telescope
a,1,10,1894.0,1906.0,0.6,24-inch Bruce Doublet
ac,2,614,1899.0,1952.0,0.038,1.5-inch Cooke Lenses
am,5,2,1903.0,1904.0,0.038,"1-inch, 1.5-inch Cooke Lenses"
bm,7,54,1934.0,1940.0,0.075,3-inch Ross
dnb,11,300,1962.0,1989.0,0.042,Damons North Blue
dnr,12,9,1967.0,1978.0,0.042,Damons North Red
dny,13,6,1962.0,1969.0,0.042,Damons North Yellow
i,19,234,1889.0,1936.0,0.2,"8-inch Draper Doublet, Voigtlander Reworked by Clark"
ir,20,14,1935.0,1962.0,0.2,8-inch Ross Lundin
ma,22,1,1907.0,1907.0,0.3,12-inch Metcalf Doublet
mb,23,10,1929.0,1929.0,0.1,"4-inch Cooke (1-327), 6-inch (328-1776) 3-inch Ross Lundin (2388-2722)"
mc,24,111,1910.0,1951.0,0.4,16-inch Metcalf Doublet (Refigured after 3500)
md,25,42,1911.0,1940.0,0.1,4-inch Cooke Lens
mf,27,1,1917.0,1917.0,0.25,10-inch Metcalf Triplet
rh,31,410,1928.0,1962.0,0.075,3-inch Ross Fecker
ax,43,6,1923.0,1923.0,0.076,3 inch Ross-Tessar Lens
ay,44,44,1924.0,1927.0,0.066,2.6-inch Zeiss-Tessar
ca,48,15,1935.0,1936.0,0.0635,2.5 inch Cooke Lens
me,82,2,1911.0,1911.0,0.038,1.5-inch Cooke Lenses
