year, year_unc, plates, rms, target, target_unc, comp1, comp1_unc, comp2, comp2_unc
1892.5, 2.5, 13  , 0.101, 12.265, 0.028, 11.713, 0.025, 12.451, 0.020
1897.5, 2.5, 41  , 0.097, 12.277, 0.015, 11.752, 0.016, 12.412, 0.023
1902.5, 2.5, 96  , 0.165, 12.383, 0.017, 11.768, 0.010, 12.475, 0.017
1907.5, 2.5, 17  , 0.166, 12.375, 0.040, 11.825, 0.019, 12.522, 0.060
1912.5, 2.5, 92  , 0.140, 12.317, 0.015, 11.770, 0.009, 12.428, 0.012
1917.5, 2.5, 66  , 0.128, 12.346, 0.016, 11.783, 0.014, 12.431, 0.015
1922.5, 2.5, 33  , 0.093, 12.355, 0.016, 11.773, 0.013, 12.403, 0.015
1927.5, 2.5, 72  , 0.161, 12.357, 0.019, 11.793, 0.012, 12.455, 0.022
1932.5, 2.5, 64  , 0.176, 12.347, 0.022, 11.774, 0.014, 12.405, 0.020
1937.5, 2.5, 205, 0.116, 12.352, 0.008, 11.758, 0.008, 12.448, 0.009
1942.5, 2.5, 141, 0.125, 12.361, 0.010, 11.759, 0.009, 12.430, 0.010
1947.5, 2.5, 80  , 0.124, 12.360, 0.014, 11.772, 0.013, 12.480, 0.015
1952.5, 2.5, 62  , 0.170, 12.375, 0.022, 11.760, 0.014, 12.488, 0.018
1967.5, 2.5, 6    , 0.073, 12.432, 0.030, 11.756, 0.065, 12.506, 0.042
1972.5, 2.5, 10  , 0.114, 12.435, 0.036, 11.758, 0.018, 12.443, 0.030
1977.5, 2.5, 56  , 0.130, 12.429, 0.017, 11.755, 0.013, 12.426, 0.017
1982.5, 2.5, 86  , 0.107, 12.453, 0.012, 11.726, 0.012, 12.438, 0.014
1987.5, 2.5, 92  , 0.116, 12.458, 0.012, 11.761, 0.012, 12.482, 0.014
