REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
420061551442725,3177.719,10830.265,-11.4961,301.5647960,44.4579150,13.087352,0.29461,12.37,0.18,2423887.800497,39667.2300000,-7.6177,-11.7159,4.94,5141.9550000,1073.0670000,19.35,0.513,0.0002290,12.34,0.0254090,11.5773,0.00,13.185081,0.147942,5.709942,0.210958,0.563,143663284,ay,33,229805,108,0,1349453824,55,54,50,41,32,20,18,8,260,0,1209,44,0,0,3,99,9999,108,1767,12.39,0.14,301.564738,44.457094,-11.6,-10.0,0,0,0.0007,0,1924-04-12 07:12:42.941,1924.279509554645
420061551442725,2907.028,10599.958,-11.8484,301.5652700,44.4567440,12.947295,0.29345,12.38,0.17,2423903.759561,54875.6400000,-8.0913,-12.1368,4.70,5003.8340000,1402.1000000,8.22,0.407,0.0003130,14.83,0.0305230,12.2759,0.00,13.329946,0.16034,6.154365,0.214082,0.408,143663284,ay,58,256493,132,512,1886322688,73,68,61,43,30,17,9,2,167,0,1208,44,0,0,3,99,9999,132,1766,12.38,99.00,301.564738,44.457094,-11.6,-10.0,0,0,1.0,0,1924-04-28 06:13:46.070,1924.3231135546446
420061551442725,2778.980,10576.031,-12.1051,301.5629710,44.4562610,12.992785,0.208215,12.59,0.14,2423937.784610,69507.4600000,-8.6171,-12.1613,3.76,4371.9940000,1860.5680000,-4.24,0.549,0.0002920,14.13,0.0290560,12.5441,0.00,13.638415,0.17977,4.263534,0.002022,0.414,143663284,ay,89,285962,108,0,1349453826,70,65,57,47,37,26,17,8,198,0,1207,44,0,0,4,99,9999,108,2162,12.54,0.17,301.564737,44.457094,-11.6,-10.0,0,0,0.0007,0,1924-06-01 06:49:50.304,1924.4160781693988
420061551442725,3246.499,10779.396,-10.5463,301.5625330,44.4579970,13.087058,0.285937,12.69,0.19,2423977.676814,16539.0900000,-7.7178,-11.1826,6.26,4737.2020000,865.1284000,19.00,0.181,0.0001140,7.76,0.0159740,11.4391,0.00,12.980799,0.170614,7.754174,0.01874,0.413,143663284,ay,129,213383,108,8192,1349386240,29,27,23,20,16,11,8,6,217,0,1209,44,0,0,3,99,9999,108,2685,12.69,99.00,301.564737,44.457094,-11.6,-10.0,0,0,0.0007,0,1924-07-11 04:14:36.730,1924.5250732622953
420061551442725,8076.812,17140.438,-10.6517,301.5656780,44.4564490,12.496526,0.446646,12.55,0.35,2423986.679448,18225.8900000,-7.9263,-11.8542,7.76,4492.1230000,992.4957000,79.51,0.206,0.0000940,8.64,0.0174570,12.8289,0.00,12.593274,0.222361,7.787296,-0.448318,0.402,143663284,ay,155,243432,130,8192,1349386242,23,23,23,18,14,13,10,7,70,0,1973,44,0,0,4,99,9999,130,1898,12.55,99.00,301.564737,44.457094,-11.6,-10.0,0,0,0.0007,0,1924-07-20 04:18:24.307,1924.5496706229512
420061551442725,13144.759,3540.918,-10.4605,301.5648750,44.4590920,12.669765,0.401397,12.35,0.23,2424025.623695,15282.8100000,-7.6318,-11.1568,5.96,3544.6500000,817.2979000,-48.29,0.318,0.0001140,7.98,0.0157960,17.8570,0.00,12.518523,0.173324,10.519429,-0.06734,0.400,143663284,ay,220,60539,134,8192,1349388290,29,26,21,16,13,11,6,4,47,0,437,44,0,0,7,99,9999,134,1651,12.41,0.14,301.564736,44.457093,-11.6,-10.0,0,0,0.0007,0,1924-08-28 02:58:07.248,1924.6560756693991
420061551442725,3210.413,10714.034,-11.0840,301.5642670,44.4556990,12.758854,0.279572,12.45,0.28,2424029.586409,27138.5100000,-7.8843,-11.6104,5.88,4238.8750000,1190.5880000,2.29,0.313,0.0001570,10.52,0.0216570,11.5244,0.00,12.920233,0.169531,7.743839,-0.013611,0.398,143663284,ay,229,202083,108,8320,1483606016,39,37,34,28,17,13,4,2,230,0,1209,44,0,0,3,99,9999,108,2271,12.49,0.18,301.564736,44.457093,-11.6,-10.0,0,0,0.0007,0,1924-09-01 02:04:25.738,1924.6669027568312
420061551442725,13329.021,3272.885,-11.9734,301.5665320,44.4590670,12.356237,0.236708,12.06,0.28,2424048.594398,61567.4000000,-8.4117,-12.1658,4.40,3220.5980000,1539.9130000,73.22,0.152,0.0002660,16.19,0.0320100,18.5960,0.00,12.063949,0.17979,10.793647,-0.074325,0.410,143663284,ay,253,86464,134,8192,1349386242,68,66,60,50,33,21,8,5,35,0,388,44,0,0,7,99,9999,134,1255,12.06,99.00,301.564736,44.457093,-11.6,-10.0,0,0,0.0007,0,1924-09-20 02:15:55.987,1924.7188371530049
420061551442725,2915.667,10472.050,-10.8095,301.5639050,44.4559920,12.822568,0.238027,12.57,0.23,2424438.505188,21077.0200000,-8.0347,-11.2030,6.07,4403.2310000,1160.0530000,76.22,0.047,0.0001230,9.81,0.0202010,12.2829,0.00,12.97879,0.118372,5.596476,-0.146965,0.403,143663284,ay,831,171319,108,8192,1349388288,31,27,24,23,16,11,7,6,125,0,1158,44,0,0,4,99,9999,108,2252,12.62,0.14,301.564731,44.45709,-11.6,-10.0,0,0,0.0007,0,1925-10-15 00:07:28.243,1925.7863155835614
420061551442725,2927.269,10806.176,-12.4171,301.5611330,44.4575890,12.374182,1.234387,12.14,1.30,2424472.494630,92645.6300000,-8.8082,-12.6173,3.50,3349.1810000,2177.2140000,-27.31,0.308,0.0003180,11.07,0.0227970,12.2292,0.00,12.75167,0.234537,12.174015,-0.228342,0.461,143663284,ay,874,226803,129,6272,1349386240,75,75,71,56,40,30,18,9,72,0,1208,44,0,0,3,99,9999,129,1388,12.14,99.00,301.564731,44.45709,-11.6,-10.0,0,0,0.0007,0,1925-11-17 23:52:16.032,1925.879437342466
420061551442725,13238.456,3359.853,-11.5701,301.5619340,44.4616030,12.901399,0.417682,12.39,0.26,2424831.465222,42464.6900000,-8.2244,-11.8736,4.70,4441.6320000,1434.3400000,-80.98,0.311,0.0001640,12.04,0.0237970,18.3231,0.00,12.621877,0.18219,9.33344,0.129162,0.420,143663284,ay,1227,125451,132,8192,1349388291,43,42,40,36,26,21,11,7,92,0,388,44,0,0,7,99,9999,132,1651,12.54,0.16,301.564726,44.457087,-11.6,-10.0,0,0,0.0007,0,1926-11-11 23:09:55.181,1926.8629184164388
