REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420061551442725,7973.093,10201.124,-10.6405,301.5648550,44.4565760,13.151611,0.213456,12.63,0.17,2427511.903133,18038.1900000,-8.8904,-11.0100,3.50,4418.7480000,947.3909000,31.46,0.598,0.0000380,8.61,0.0102700,1.3061,0.00,13.642119,0.186471,2.325485,0.0162,0.512,143663284,bm,85,113566,108,0,1349453824,26,26,22,20,17,12,8,4,180,0,1172,7,0,0,1,99,9999,108,2258,12.60,0.18,301.564693,44.457067,-11.6,-10.0,0,0,0.0007,0
420061551442725,7875.364,10143.517,-11.2765,301.5642310,44.4574490,13.0595,0.235644,12.38,0.10,2427517.882751,32404.1100000,-8.7509,-11.7720,3.50,7009.2770000,847.7846000,8.14,0.512,0.0000700,11.81,0.0140850,1.3988,0.00,13.646264,0.166687,1.492853,0.168823,0.518,143663284,bm,95,158305,108,0,1349452800,49,44,43,38,32,25,19,8,203,0,1172,7,0,0,1,99,9999,108,1430,12.38,99.00,301.564693,44.457067,-11.6,-10.0,0,0,0.0007,0
420061551442725,7748.169,10386.635,-9.4902,301.5652450,44.4569490,13.329891,0.269677,12.47,0.12,2427519.889812,6253.0590000,-7.9513,-10.2314,5.55,7541.0960000,399.7215000,-5.93,0.631,0.0000240,7.07,0.0084200,1.3816,0.00,12.781309,0.164374,1.406208,0.395605,0.496,143663284,bm,98,154596,108,8192,1349388288,18,17,17,16,15,10,5,5,125,0,1172,7,0,0,1,99,9999,108,1771,12.59,0.12,301.564693,44.457067,-11.6,-10.0,0,0,0.0007,0
420061551442725,7443.123,10101.667,-11.8216,301.5644580,44.4570160,12.833003,0.176224,12.30,0.12,2427537.864479,53535.8500000,-9.7741,-11.9421,3.50,4944.7930000,2020.7280000,1.27,0.465,0.0000620,8.33,0.0099260,1.8270,0.00,14.204268,0.161375,1.1872,0.07191,0.464,143663284,bm,126,192289,108,0,1349453824,44,43,35,33,23,20,15,7,337,0,1171,7,0,0,1,99,9999,108,1843,12.27,0.10,301.564693,44.457067,-11.6,-10.0,0,0,0.0007,0
420061551442725,8023.498,10575.278,-11.1919,301.5646200,44.4572350,12.851799,0.162054,12.30,0.10,2427553.851234,29974.1400000,-8.9292,-11.3708,3.50,4450.8600000,984.5311000,51.75,0.435,0.0000780,9.16,0.0109140,0.9850,0.00,13.69616,0.14539,2.215718,0.113319,0.434,143663284,bm,141,194435,108,0,1349451776,55,48,40,34,26,19,12,4,204,0,1222,7,0,0,1,99,9999,108,2276,12.30,99.00,301.564693,44.457066,-11.6,-10.0,0,0,0.0007,0
420061551442725,7510.104,10246.223,-11.0891,301.5647850,44.4569430,13.002879,0.178566,12.45,0.18,2427565.832165,27266.7600000,-9.1215,-11.4118,3.50,6308.6290000,1177.4920000,29.11,0.572,0.0000470,9.40,0.0112040,1.6654,0.00,13.349933,0.120992,1.579988,0.136605,0.424,143663284,bm,153,280511,108,0,1349453824,33,32,27,23,18,13,8,5,178,0,1171,7,0,0,1,99,9999,108,1843,12.39,0.10,301.564692,44.457066,-11.6,-10.0,0,0,0.0007,0
420061551442725,7569.498,10258.715,-11.6944,301.5646790,44.4570660,12.854896,0.249341,12.43,0.13,2427566.829133,47615.9300000,-9.4557,-11.8994,3.50,5835.0030000,1594.9960000,26.22,0.502,0.0000650,10.98,0.0130820,1.5978,0.00,14.195202,0.150472,1.700806,-0.003242,0.424,143663284,bm,160,238342,108,0,1349453824,46,42,36,32,27,23,14,7,322,0,1171,7,0,0,1,99,9999,108,1771,12.41,0.14,301.564692,44.457066,-11.6,-10.0,0,0,0.0007,0
420061551442725,7767.330,10355.261,-10.4382,301.5652960,44.4571930,13.068715,0.356816,12.39,0.17,2427570.829129,14971.8300000,-8.6905,-10.8255,3.50,6965.3360000,712.0197000,52.02,0.488,0.0000380,8.53,0.0101700,1.3826,0.00,13.260882,0.152353,1.296663,0.29245,0.417,143663284,bm,167,230209,108,0,1349453824,27,26,21,20,17,11,9,2,197,0,1172,7,0,0,1,99,9999,108,1375,12.37,0.15,301.564692,44.457066,-11.6,-10.0,0,0,0.0007,0
420061551442725,6358.053,10161.444,-11.5282,301.5637800,44.4566190,12.775898,0.170706,12.31,0.11,2428701.803937,40858.1500000,-9.7127,-11.9651,4.54,5031.1760000,1864.3980000,69.19,0.371,0.0000550,6.52,0.0076260,2.9046,0.00,13.765486,0.15116,1.749546,0.084816,0.398,143663284,bm,585,150134,108,0,1349453824,40,37,31,22,17,14,9,6,264,0,1168,7,0,0,1,99,9999,108,1842,12.28,0.13,301.564678,44.457058,-11.6,-10.0,0,0,0.0007,0
420061551442725,6090.068,10271.636,-10.4294,301.5626580,44.4566900,12.584535,0.277837,12.25,0.28,2428737.701472,14850.6900000,-8.7671,-10.9369,3.50,5961.6730000,949.5047000,65.25,0.438,0.0000290,8.56,0.0100030,3.2170,0.00,12.760316,0.177861,2.560823,-0.074715,0.398,143663284,bm,612,38047,108,0,1349451776,21,20,16,16,14,8,4,2,102,0,1167,7,0,0,1,99,9999,108,1842,12.25,99.00,301.564678,44.457057,-11.6,-10.0,0,0,0.0007,0
