datapoints,seriesid,year_max,year_min
614,2,1952.664274204918,1899.3241504164387
410,31,1962.6199711643835,1928.3014910737704
300,11,1989.8986022849313,1962.5013754273969
234,19,1936.8472206366116,1889.8493842082187
111,24,1951.6441334164383,1910.5178142794523
54,7,1940.8141215245896,1934.201104473972
44,44,1927.8848720684928,1924.279509554645
42,25,1940.5168849016397,1911.2283483808221
15,48,1936.7350408142074,1935.4172136739726
14,20,1962.5178142575344,1935.1599856246569
10,1,1906.6987874054796,1894.3269573835619
10,23,1929.756169315069,1929.5232938849317
9,12,1978.8302699397254,1967.7535477095896
6,43,1923.7699731205475,1923.2366129589038
6,13,1969.4719033808217,1962.5045147917808
2,5,1904.6887702513663,1903.5319865808221
2,82,1911.313037909589,1911.2283483808221
1,27,1917.636078657534,1917.636078657534
1,22,1907.4328797726025,1907.4328797726025
